Image_No,age,gender,race,emotion,center_dist,space
39,28,"{'male': 0.031157207558862865, 'female': 99.96885061264038}","{'asian': 72.6220965385437, 'indian': 4.091328382492065, 'black': 0.3371541853994131, 'white': 6.370150297880173, 'middle eastern': 1.4509892091155052, 'latino hispanic': 15.128275752067566}","{'angry': 0.2778950845822692, 'disgust': 0.0012455587238946464, 'fear': 0.3037781920284033, 'happy': 29.837459325790405, 'sad': 2.722471207380295, 'surprise': 0.0913339201360941, 'neutral': 66.76581501960754}",,
40,29,male,asian,happy,1.0,97.82710280373831
40,29,"{'male': 82.42581486701965, 'female': 17.574182152748108}","{'asian': 40.126484632492065, 'indian': 9.671256691217422, 'black': 36.57078146934509, 'white': 0.4367126617580652, 'middle eastern': 0.20350359845906496, 'latino hispanic': 12.99126148223877}","{'angry': 0.00038374982977984473, 'disgust': 3.95899002469946e-07, 'fear': 0.001841266748670023, 'happy': 66.24399423599243, 'sad': 0.04017680766992271, 'surprise': 0.003330766412545927, 'neutral': 33.71026813983917}",,
41,28,male,white,happy,46.8187996428785,67.7566265060241
41,28,"{'male': 93.22959780693054, 'female': 6.770405173301697}","{'asian': 1.0784677806833052, 'indian': 1.0143913982043984, 'black': 2.407455529873904, 'white': 75.30430849739211, 'middle eastern': 10.146816355369525, 'latino hispanic': 10.048553639822764}","{'angry': 0.8542344992440342, 'disgust': 8.154488612778841e-08, 'fear': 0.00042016009053552205, 'happy': 99.14385070131429, 'sad': 7.22142289898906e-05, 'surprise': 7.970473232336069e-07, 'neutral': 0.001424330536510617}",,
42,31,male,white,fear,2.0,61.605651894669236
42,31,"{'male': 89.84459042549133, 'female': 10.155406594276428}","{'asian': 0.04703248559962958, 'indian': 0.048793284804560244, 'black': 0.005851875175721943, 'white': 92.11219549179077, 'middle eastern': 3.665250539779663, 'latino hispanic': 4.120875522494316}","{'angry': 0.03528472573165306, 'disgust': 0.01557238178166083, 'fear': 95.9502930581919, 'happy': 1.2058995239018826, 'sad': 2.559754185051225, 'surprise': 0.0003679605908740364, 'neutral': 0.23283346537750546}",,
43,32,male,asian,angry,9.055385138137417,45.96774193548387
43,32,"{'male': 89.02302980422974, 'female': 10.976968705654144}","{'asian': 35.13061911646242, 'indian': 9.681875835768928, 'black': 21.613907612199046, 'white': 6.569439564313862, 'middle eastern': 2.543833072115962, 'latino hispanic': 24.460329083223883}","{'angry': 78.96133316024147, 'disgust': 3.517068994216102e-08, 'fear': 0.001526458072407047, 'happy': 21.01184326269111, 'sad': 0.02445567806220912, 'surprise': 2.361647129434175e-06, 'neutral': 0.0008352151694695542}",,
44,24,female,asian,happy,15.811388300841898,66.95565718830781
44,24,"{'male': 35.89169979095459, 'female': 64.10830020904541}","{'asian': 40.93619531012745, 'indian': 5.328637679138045, 'black': 2.283888818853427, 'white': 13.09360939822253, 'middle eastern': 5.313804689872544, 'latino hispanic': 33.04386931919273}","{'angry': 2.3058762871850276e-09, 'disgust': 1.1701406210088688e-16, 'fear': 9.194865556334071e-09, 'happy': 98.92077439551201, 'sad': 1.437916449462175e-06, 'surprise': 0.003837156556502934, 'neutral': 1.0753867857388726}",,
